# contigs (>= 0 bp)	138
# contigs (>= 1000 bp)	127
Total length (>= 0 bp)	3811477
Total length (>= 1000 bp)	3804064
# contigs	138
Largest contig	135700
Total length	3811477
GC (%)	27.15
# N's per 100 kbp	0.00
