# contigs (>= 0 bp)	96
# contigs (>= 1000 bp)	86
Total length (>= 0 bp)	3710294
Total length (>= 1000 bp)	3703816
# contigs	96
Largest contig	222491
Total length	3710294
GC (%)	27.13
# N's per 100 kbp	0.00
