# contigs (>= 0 bp)	32
# contigs (>= 1000 bp)	26
Total length (>= 0 bp)	3909154
Total length (>= 1000 bp)	3905188
# contigs	32
Largest contig	917987
Total length	3909154
GC (%)	27.12
# N's per 100 kbp	0.00
