# contigs (>= 0 bp)	171
# contigs (>= 1000 bp)	161
Total length (>= 0 bp)	3835408
Total length (>= 1000 bp)	3827899
# contigs	171
Largest contig	145471
Total length	3835408
GC (%)	27.19
# N's per 100 kbp	0.00
