# contigs (>= 0 bp)	962
# contigs (>= 1000 bp)	588
Total length (>= 0 bp)	3990760
Total length (>= 1000 bp)	3754435
# contigs	962
Largest contig	59918
Total length	3990760
GC (%)	30.00
# N's per 100 kbp	0.00
