# contigs (>= 0 bp)	65
# contigs (>= 1000 bp)	51
Total length (>= 0 bp)	3876982
Total length (>= 1000 bp)	3868425
# contigs	64
Largest contig	386176
Total length	3876483
GC (%)	27.15
# N's per 100 kbp	0.03
