# contigs (>= 0 bp)	50
# contigs (>= 1000 bp)	47
Total length (>= 0 bp)	3790314
Total length (>= 1000 bp)	3788413
# contigs	50
Largest contig	452521
Total length	3790314
GC (%)	27.04
# N's per 100 kbp	0.03
