# contigs (>= 0 bp)	315
# contigs (>= 1000 bp)	42
Total length (>= 0 bp)	4002171
Total length (>= 1000 bp)	3844013
# contigs	276
Largest contig	1631697
Total length	3982855
GC (%)	27.89
# N's per 100 kbp	0.00
