# contigs (>= 0 bp)	577
# contigs (>= 1000 bp)	523
Total length (>= 0 bp)	3800891
Total length (>= 1000 bp)	3760030
# contigs	576
Largest contig	54746
Total length	3800396
GC (%)	27.37
# N's per 100 kbp	0.00
