# contigs (>= 0 bp)	189
# contigs (>= 1000 bp)	128
Total length (>= 0 bp)	4488445
Total length (>= 1000 bp)	4444210
# contigs	189
Largest contig	1142174
Total length	4488445
GC (%)	27.92
# N's per 100 kbp	0.00
