# contigs (>= 0 bp)	76
# contigs (>= 1000 bp)	67
Total length (>= 0 bp)	3849294
Total length (>= 1000 bp)	3843306
# contigs	76
Largest contig	293849
Total length	3849294
GC (%)	27.14
# N's per 100 kbp	0.16
