# contigs (>= 0 bp)	64
# contigs (>= 1000 bp)	58
Total length (>= 0 bp)	3837761
Total length (>= 1000 bp)	3832672
# contigs	64
Largest contig	534842
Total length	3837761
GC (%)	27.18
# N's per 100 kbp	0.00
