# contigs (>= 0 bp)	52
# contigs (>= 1000 bp)	40
Total length (>= 0 bp)	3932861
Total length (>= 1000 bp)	3925491
# contigs	52
Largest contig	1250052
Total length	3932861
GC (%)	27.16
# N's per 100 kbp	0.28
