# contigs (>= 0 bp)	67
# contigs (>= 1000 bp)	19
Total length (>= 0 bp)	3852262
Total length (>= 1000 bp)	3823143
# contigs	67
Largest contig	1371052
Total length	3852262
GC (%)	28.19
# N's per 100 kbp	0.00
