# contigs (>= 0 bp)	51
# contigs (>= 1000 bp)	50
Total length (>= 0 bp)	3912121
Total length (>= 1000 bp)	3911344
# contigs	51
Largest contig	338328
Total length	3912121
GC (%)	27.96
# N's per 100 kbp	1.30
