# contigs (>= 0 bp)	282
# contigs (>= 1000 bp)	264
Total length (>= 0 bp)	3733320
Total length (>= 1000 bp)	3720458
# contigs	282
Largest contig	73042
Total length	3733320
GC (%)	27.13
# N's per 100 kbp	0.00
