# contigs (>= 0 bp)	485
# contigs (>= 1000 bp)	448
Total length (>= 0 bp)	3979134
Total length (>= 1000 bp)	3952445
# contigs	485
Largest contig	75439
Total length	3979134
GC (%)	27.16
# N's per 100 kbp	0.00
