# contigs (>= 0 bp)	72
# contigs (>= 1000 bp)	63
Total length (>= 0 bp)	3705743
Total length (>= 1000 bp)	3699379
# contigs	72
Largest contig	304206
Total length	3705743
GC (%)	27.08
# N's per 100 kbp	0.00
