# contigs (>= 0 bp)	70
# contigs (>= 1000 bp)	68
Total length (>= 0 bp)	3767048
Total length (>= 1000 bp)	3765725
# contigs	69
Largest contig	357871
Total length	3766555
GC (%)	27.06
# N's per 100 kbp	0.00
