# contigs (>= 0 bp)	69
# contigs (>= 1000 bp)	61
Total length (>= 0 bp)	3941390
Total length (>= 1000 bp)	3936671
# contigs	69
Largest contig	391799
Total length	3941390
GC (%)	27.19
# N's per 100 kbp	0.00
