# contigs (>= 0 bp)	45
# contigs (>= 1000 bp)	40
Total length (>= 0 bp)	3740583
Total length (>= 1000 bp)	3737271
# contigs	45
Largest contig	1139181
Total length	3740583
GC (%)	27.11
# N's per 100 kbp	0.00
