# contigs (>= 0 bp)	63
# contigs (>= 1000 bp)	58
Total length (>= 0 bp)	3689629
Total length (>= 1000 bp)	3686751
# contigs	63
Largest contig	298770
Total length	3689629
GC (%)	27.11
# N's per 100 kbp	0.00
