# contigs (>= 0 bp)	35
# contigs (>= 1000 bp)	33
Total length (>= 0 bp)	3845605
Total length (>= 1000 bp)	3844106
# contigs	35
Largest contig	631578
Total length	3845605
GC (%)	27.17
# N's per 100 kbp	0.00
